Name,Age,MP,ThreePoints,AST,FG,FT,TOV,DRB,FGA,TRB,ORB,FTA,STL,BLK,PF,PointsPerGame,Salary,Season
J.J. Redick,34,31.3,3.2,2.7,5.9,3.0,1.3,2.2,13.5,2.4,0.3,3.4,0.4,0.2,1.7,18.1,12250000.0,NBA_2019
Mike Scott,30,24.0,1.8,0.8,2.8,0.4,0.6,3.1,7.0,3.8,0.7,0.6,0.3,0.2,2.5,7.8,4320500.0,NBA_2019
Corey Brewer,32,20.0,0.6,1.4,2.9,1.3,1.1,1.9,7.0,2.4,0.6,1.9,1.7,0.3,2.3,7.6,270496.0,NBA_2019
T.J. McConnell,26,19.3,0.2,3.4,2.9,0.4,1.2,1.9,5.5,2.3,0.4,0.5,1.0,0.2,1.4,6.4,1600520.0,NBA_2019
Zhaire Smith,19,18.5,1.0,1.7,2.3,1.0,1.0,1.7,5.7,2.2,0.5,1.3,0.3,0.3,1.3,6.7,2611800.0,NBA_2019
James Ennis,28,15.6,0.6,0.8,1.9,0.9,0.6,2.3,4.6,3.6,1.3,1.3,0.2,0.4,2.2,5.3,1621415.0,NBA_2019
Jonathon Simmons,29,14.6,0.6,2.2,1.9,1.1,0.8,1.5,4.3,1.7,0.3,1.7,0.7,0.1,1.4,5.5,6000000.0,NBA_2019
Jonah Bolden,23,14.5,0.8,0.9,1.8,0.3,0.8,2.7,3.7,3.8,1.1,0.6,0.4,0.9,2.3,4.7,1690000.0,NBA_2019
Furkan Korkmaz,21,14.1,1.0,1.1,2.0,0.8,0.5,1.9,5.1,2.2,0.3,0.9,0.6,0.0,1.3,5.8,1740000.0,NBA_2019
Boban Marjanović,30,13.9,0.2,1.5,3.4,1.2,1.0,3.7,5.5,5.1,1.5,1.6,0.2,0.5,1.5,8.2,7000000.0,NBA_2019
Amir Johnson,31,10.4,0.2,1.2,1.5,0.6,0.9,2.0,3.1,2.9,0.9,0.8,0.3,0.3,1.9,3.9,2393887.0,NBA_2019
Justin Patton,21,7.0,0.0,1.0,0.7,0.3,0.0,1.3,2.3,2.0,0.7,0.7,0.7,0.0,1.7,1.7,2667600.0,NBA_2019
Kyrie Irving,26,33.0,2.6,6.9,9.0,3.2,2.6,3.9,18.5,5.0,1.1,3.7,1.5,0.5,2.5,23.8,20099189.0,NBA_2019
Jayson Tatum,20,31.1,1.5,2.1,5.9,2.5,1.5,5.2,13.1,6.0,0.9,2.9,1.1,0.7,2.1,15.7,6700800.0,NBA_2019
Al Horford,32,29.0,1.1,4.2,5.7,1.1,1.5,5.0,10.6,6.7,1.8,1.4,0.9,1.3,1.9,13.6,28928710.0,NBA_2019
Marcus Morris,29,27.9,1.9,1.5,5.0,1.9,1.2,5.1,11.3,6.1,1.0,2.3,0.6,0.3,2.4,13.9,5375000.0,NBA_2019
Marcus Smart,24,27.5,1.6,4.0,3.0,1.3,1.5,2.2,7.1,2.9,0.7,1.6,1.8,0.4,2.5,8.9,11660716.0,NBA_2019
Jaylen Brown,22,25.9,1.3,1.4,5.0,1.8,1.3,3.4,10.7,4.2,0.9,2.7,0.9,0.4,2.5,13.0,5169960.0,NBA_2019
