Name,Age,MP,ThreePoints,AST,FG,FT,TOV,DRB,FGA,TRB,ORB,FTA,STL,BLK,PF,PointsPerGame,Salary,Season
Tomáš Satoranský,27,27.1,0.8,5.0,3.2,1.6,1.5,2.5,6.6,3.5,1.0,2.0,1.0,0.2,2.2,8.9,3129187.0,NBA_2019
Dwight Howard,33,25.6,0.0,0.4,4.8,3.2,1.8,6.6,7.7,9.2,2.7,5.3,0.8,0.4,3.8,12.8,5337000.0,NBA_2019
Thomas Bryant,21,20.8,0.5,1.3,4.3,1.5,0.8,4.7,7.0,6.3,1.6,1.9,0.3,0.9,1.8,10.5,1378242.0,NBA_2019
Sam Dekker,24,16.3,0.4,1.0,2.6,0.5,0.5,1.9,5.5,3.0,1.2,0.9,0.7,0.2,0.9,6.1,2760095.0,NBA_2019
Chasson Randle,25,15.2,0.9,2.0,1.9,0.9,0.9,0.9,4.4,1.1,0.2,1.3,0.5,0.1,1.9,5.5,869094.0,NBA_2019
Ian Mahinmi,32,14.6,0.1,0.7,1.4,1.2,0.6,2.4,3.1,3.8,1.4,1.8,0.7,0.5,2.5,4.1,15944154.0,NBA_2019
Troy Brown,19,14.0,0.4,1.5,1.9,0.6,0.6,2.1,4.5,2.8,0.7,0.9,0.4,0.1,1.1,4.8,2749080.0,NBA_2019
Wesley Johnson,31,13.1,0.5,0.6,0.8,0.6,0.5,1.3,3.3,1.5,0.2,0.8,0.2,0.4,1.5,2.8,6134520.0,NBA_2019
Jordan McRae,27,12.3,0.4,1.1,2.3,1.0,0.6,1.3,4.8,1.5,0.2,1.3,0.5,0.3,1.0,5.9,17092.0,NBA_2019
Ron Baker,25,11.3,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.5,0.0,170915.0,NBA_2019
Gary Payton,26,5.3,0.3,1.3,1.7,0.0,0.3,0.3,2.7,0.7,0.3,0.0,1.0,0.3,0.7,3.7,85458.0,NBA_2019
John Jenkins,27,3.5,0.5,0.3,0.5,0.0,0.0,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,1.5,99290.0,NBA_2019
Okaro White,26,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.0,264919.0,NBA_2019
Trae Young,20,30.9,1.9,8.1,6.5,4.2,3.8,2.9,15.5,3.7,0.8,5.1,0.9,0.2,1.7,19.1,5356440.0,NBA_2019
John Collins,21,30.0,0.9,2.0,7.6,3.3,2.0,6.2,13.6,9.8,3.6,4.4,0.4,0.6,3.3,19.5,2299080.0,NBA_2019
Taurean Waller-Prince,24,28.2,2.2,2.1,4.8,1.7,1.8,3.2,10.8,3.6,0.4,2.1,1.0,0.3,2.6,13.5,2526840.0,NBA_2019
Kevin Huerter,20,27.3,1.8,2.9,3.7,0.5,1.5,2.5,8.8,3.3,0.8,0.7,0.9,0.3,2.1,9.7,2250960.0,NBA_2019
Dewayne Dedmon,29,25.1,1.3,1.4,4.0,1.4,1.3,5.9,8.2,7.5,1.6,1.8,1.1,1.1,3.3,10.8,7200000.0,NBA_2019
Kent Bazemore,29,24.5,1.4,2.3,4.1,1.9,1.8,3.3,10.3,3.9,0.6,2.6,1.3,0.6,2.5,11.6,18089887.0,NBA_2019
DeAndre' Bembry,24,23.5,0.6,2.5,3.4,1.1,1.7,3.7,7.5,4.4,0.7,1.7,1.3,0.5,2.3,8.4,1634640.0,NBA_2019
Alex Len,25,20.1,1.0,1.1,4.2,1.8,1.3,3.5,8.4,5.5,2.1,2.8,0.4,0.9,2.6,11.1,4350000.0,NBA_2019
Jeremy Lin,30,19.7,0.9,3.5,3.5,2.8,1.9,2.0,7.6,2.3,0.3,3.3,0.7,0.1,1.9,10.7,13768421.0,NBA_2019
Omari Spellman,21,17.5,1.0,1.0,2.1,0.7,0.7,2.7,5.3,4.2,1.6,1.0,0.6,0.5,1.5,5.9,1620480.0,NBA_2019
Vince Carter,42,17.5,1.6,1.1,2.6,0.6,0.6,2.1,6.2,2.6,0.4,0.9,0.6,0.4,1.9,7.4,2393887.0,NBA_2019
Deyonta Davis,22,13.1,0.0,0.6,1.7,0.7,0.3,2.9,2.4,4.0,1.1,1.1,0.3,0.6,1.3,4.0,170916.0,NBA_2019
Deyonta Davis,22,13.1,0.0,0.6,1.7,0.7,0.3,2.9,2.4,4.0,1.1,1.1,0.3,0.6,1.3,4.0,25637.0,NBA_2019
Jaylen Adams,22,12.6,0.7,1.9,1.1,0.2,0.8,1.4,3.2,1.8,0.3,0.3,0.4,0.1,1.3,3.2,236854.0,NBA_2019
Isaac Humphries,21,11.2,0.6,0.0,1.2,0.0,0.0,1.4,4.2,2.2,0.8,0.0,0.2,0.0,1.4,3.0,47371.0,NBA_2019
Daniel Hamilton,23,10.7,0.4,1.2,1.2,0.2,0.8,1.9,3.2,2.5,0.5,0.3,0.3,0.1,1.0,3.0,1349383.0,NBA_2019
Miles Plumlee,30,9.6,0.0,0.9,1.8,0.9,0.6,1.3,2.7,2.2,0.9,1.7,0.3,0.2,0.8,4.4,12500000.0,NBA_2019
Justin Anderson,25,9.6,0.5,0.5,1.3,0.5,0.5,1.3,3.3,1.8,0.5,0.7,0.5,0.3,1.0,3.7,2516048.0,NBA_2019
B.J. Johnson,23,7.2,0.5,0.0,1.3,0.3,0.3,1.0,2.7,1.3,0.3,0.3,0.3,0.0,0.5,3.5,94742.0,NBA_2019
Tyler Zeller,29,5.5,0.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,106974.0,NBA_2019
Jordan Sibert,26,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47371.0,NBA_2019
Zach LaVine,23,34.5,1.9,4.5,8.4,5.0,3.4,4.0,18.0,4.7,0.6,6.0,1.0,0.4,2.2,23.7,19500000.0,NBA_2019
Otto Porter,25,32.8,2.6,2.7,6.5,1.9,1.7,4.6,13.4,5.5,0.9,2.1,1.2,0.6,1.9,17.5,26011913.0,NBA_2019
Lauri Markkanen,21,32.3,2.3,1.4,6.6,3.3,1.6,7.6,15.3,9.0,1.4,3.8,0.7,0.6,2.3,18.7,4536120.0,NBA_2019
JaKarr Sampson,25,31.8,1.3,1.0,7.3,4.3,1.0,6.8,13.5,8.0,1.3,5.3,1.0,0.8,2.0,20.0,88531.0,NBA_2019
Kris Dunn,24,30.2,0.7,6.0,4.7,1.2,2.3,3.7,11.0,4.1,0.4,1.5,1.5,0.5,3.6,11.3,4221000.0,NBA_2019
Walt Lemon,26,27.8,0.3,5.0,6.3,1.3,1.7,3.8,14.5,4.5,0.7,1.8,1.8,0.2,2.3,14.3,99107.0,NBA_2019
Wendell Carter,19,25.2,0.1,1.8,4.1,2.0,1.5,5.0,8.4,7.0,2.0,2.5,0.6,1.3,3.5,10.3,4441200.0,NBA_2019
Ryan Arcidiacono,24,24.2,1.0,3.3,2.3,1.1,0.8,2.4,5.2,2.7,0.3,1.3,0.8,0.0,2.1,6.7,1349383.0,NBA_2019
Wayne Selden,24,22.9,0.8,1.7,3.0,1.0,1.3,2.7,7.5,3.2,0.5,1.5,0.5,0.2,1.9,8.0,1544951.0,NBA_2019
Robin Lopez,30,21.7,0.1,1.2,4.1,1.2,1.3,2.0,7.2,3.9,1.9,1.7,0.1,1.1,1.7,9.5,14357750.0,NBA_2019
Chandler Hutchison,22,20.3,0.3,0.8,2.2,0.5,0.6,3.5,4.8,4.2,0.7,0.9,0.5,0.1,1.3,5.2,1991520.0,NBA_2019
Shaquille Harrison,25,19.6,0.3,1.9,2.5,1.1,0.8,2.6,5.8,3.0,0.5,1.7,1.2,0.4,1.7,6.5,1311265.0,NBA_2019
Timothé Luwawu-Cabarrot,23,18.8,1.1,0.8,2.4,0.9,0.6,2.5,6.0,2.7,0.2,1.2,0.5,0.2,2.0,6.8,1544951.0,NBA_2019
Cameron Payne,24,17.3,0.5,2.7,2.2,0.7,1.1,1.4,5.4,1.7,0.3,0.8,0.6,0.2,1.6,5.7,3263295.0,NBA_2019
Antonio Blakeney,22,14.5,0.6,0.7,2.9,0.9,0.6,1.7,6.9,1.9,0.1,1.3,0.2,0.2,0.7,7.3,1349383.0,NBA_2019
Cristiano Felício,26,12.4,0.0,0.6,1.6,0.8,0.6,2.3,3.0,3.6,1.3,1.2,0.2,0.1,1.2,4.0,8470980.0,NBA_2019
Cedi Osman,23,32.2,1.7,2.6,4.7,1.9,1.5,4.1,11.1,4.7,0.6,2.4,0.8,0.1,2.6,13.0,2775000.0,NBA_2019
Collin Sexton,20,31.8,1.5,3.0,6.3,2.6,2.3,2.2,14.7,2.9,0.7,3.1,0.5,0.1,2.3,16.7,4068600.0,NBA_2019
Tristan Thompson,27,27.9,0.0,2.0,4.7,1.6,1.4,6.2,8.8,10.2,4.0,2.5,0.7,0.4,2.1,10.9,17469565.0,NBA_2019
Jordan Clarkson,26,27.3,1.8,2.4,6.5,2.0,1.7,2.3,14.6,3.3,1.0,2.4,0.7,0.2,1.4,16.8,12500000.0,NBA_2019
Kevin Love,30,27.2,2.4,2.2,5.0,4.7,1.9,9.4,12.9,10.9,1.5,5.2,0.3,0.2,2.5,17.0,24119025.0,NBA_2019
Larry Nance,26,26.8,0.5,3.2,3.7,1.4,1.4,5.7,7.1,8.2,2.5,2.0,1.5,0.6,2.9,9.4,2272391.0,NBA_2019
Brandon Knight,27,22.9,1.3,2.3,3.3,0.7,0.9,1.5,7.9,1.9,0.3,0.9,0.7,0.1,1.8,8.5,14631250.0,NBA_2019
J.R. Smith,33,20.2,1.1,1.9,2.5,0.7,1.0,1.6,7.2,1.6,0.0,0.9,1.0,0.3,1.7,6.7,14720000.0,NBA_2019
Matthew Dellavedova,28,19.9,1.1,4.2,2.6,1.1,1.6,1.7,6.2,1.9,0.2,1.3,0.3,0.1,1.8,7.3,9607500.0,NBA_2019
Cameron Payne,24,19.6,1.0,2.6,3.0,1.2,1.2,1.8,6.1,2.1,0.3,1.8,0.9,0.3,1.7,8.2,177063.0,NBA_2019
David Nwaba,26,19.3,0.5,1.1,2.5,1.1,0.6,2.4,5.1,3.2,0.8,1.7,0.7,0.3,2.1,6.5,1512601.0,NBA_2019
Ante Žižić,22,18.3,0.0,0.9,3.1,1.6,1.0,3.6,5.6,5.4,1.8,2.2,0.2,0.4,1.9,7.8,1952760.0,NBA_2019
Patrick McCaw,23,17.7,0.3,0.7,0.7,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.7,0.0,0.3,1.7,323529.0,NBA_2019
Marquese Chriss,21,14.6,0.6,0.6,2.1,1.0,0.9,3.0,5.4,4.2,1.2,1.4,0.6,0.3,2.4,5.7,3206160.0,NBA_2019
Nik Stauskas,25,14.3,1.1,0.8,1.7,1.0,0.5,1.6,4.5,2.0,0.3,1.2,0.3,0.1,0.8,5.5,540472.0,NBA_2019
Channing Frye,35,9.5,0.9,0.6,1.2,0.3,0.4,1.3,3.3,1.4,0.1,0.4,0.2,0.1,1.2,3.6,2393887.0,NBA_2019
Kobi Simmons,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76236.0,NBA_2019
Kevin Knox,19,28.8,1.7,1.1,4.5,2.2,1.5,3.7,12.2,4.5,0.8,3.0,0.6,0.3,2.3,12.8,3739920.0,NBA_2019
Dennis Smith,21,28.6,1.1,5.4,5.8,2.0,2.6,2.1,14.0,2.8,0.7,3.5,1.3,0.4,2.2,14.7,3819960.0,NBA_2019
Damyean Dotson,24,27.5,1.7,1.8,4.0,1.0,1.0,3.1,9.6,3.6,0.5,1.3,0.8,0.1,1.8,10.7,1378242.0,NBA_2019
Emmanuel Mudiay,22,27.2,1.2,3.9,5.6,2.4,2.4,2.8,12.5,3.3,0.6,3.2,0.7,0.3,1.7,14.8,4294480.0,NBA_2019
Wesley Matthews,32,27.0,1.0,2.5,2.0,2.0,1.0,1.0,9.5,1.5,0.5,2.5,0.5,0.5,1.0,7.0,18622514.0,NBA_2019
DeAndre Jordan,30,25.9,0.0,3.0,4.1,2.7,2.2,8.0,6.5,11.4,3.4,3.5,0.5,1.1,2.2,10.9,22900000.0,NBA_2019
Enes Kanter,26,25.6,0.2,1.9,5.7,2.4,1.8,6.6,10.6,10.5,3.9,2.9,0.4,0.4,2.4,14.0,18622514.0,NBA_2019
Noah Vonleh,23,25.3,0.7,1.9,3.0,1.6,1.3,6.1,6.5,7.8,1.7,2.3,0.7,0.8,2.6,8.4,1621415.0,NBA_2019
Allonzo Trier,23,22.8,0.8,1.9,3.6,2.8,1.8,2.6,8.1,3.1,0.5,3.5,0.4,0.2,1.8,10.9,3382000.0,NBA_2019
Frank Ntilikina,20,21.0,0.8,2.8,2.2,0.5,1.3,1.7,6.6,2.0,0.3,0.7,0.7,0.3,2.4,5.7,4155720.0,NBA_2019
Mario Hezonja,23,20.8,0.7,1.5,3.3,1.5,1.5,3.6,8.0,4.1,0.5,2.0,1.0,0.1,1.9,8.8,6500000.0,NBA_2019
Mitchell Robinson,20,20.6,0.0,0.6,3.1,1.2,0.5,3.7,4.4,6.4,2.7,2.0,0.8,2.4,3.3,7.3,1485440.0,NBA_2019
Lance Thomas,30,17.0,0.5,0.6,1.7,0.6,0.5,2.1,4.3,2.5,0.5,0.8,0.4,0.2,1.8,4.5,7119650.0,NBA_2019
Luke Kornet,23,17.0,1.5,1.2,2.3,0.8,0.5,2.3,6.2,2.9,0.6,1.0,0.6,0.9,0.9,7.0,1619000.0,NBA_2019
Billy Garrett,24,15.8,0.0,1.8,2.8,1.0,0.5,0.8,6.8,0.8,0.0,1.0,0.3,0.3,0.8,6.5,42634.0,NBA_2019
John Jenkins,27,14.5,0.9,1.0,1.8,0.7,0.4,1.4,4.7,1.6,0.3,0.8,0.0,0.1,0.5,5.2,99290.0,NBA_2019
John Jenkins,27,14.5,0.9,1.0,1.8,0.7,0.4,1.4,4.7,1.6,0.3,0.8,0.0,0.1,0.5,5.2,99290.0,NBA_2019
Henry Ellenson,22,13.8,0.9,0.9,2.1,1.0,0.5,3.1,5.0,3.4,0.3,1.4,0.4,0.1,1.5,6.0,341831.0,NBA_2019
Henry Ellenson,22,13.8,0.9,0.9,2.1,1.0,0.5,3.1,5.0,3.4,0.3,1.4,0.4,0.1,1.5,6.0,85458.0,NBA_2019
Ron Baker,25,9.7,0.1,1.2,0.4,0.5,0.3,0.5,1.5,0.6,0.1,0.5,0.5,0.0,1.5,1.3,4544400.0,NBA_2019
Kevin Durant,30,34.6,1.8,5.9,9.2,5.7,2.9,5.9,17.7,6.4,0.4,6.5,0.7,1.1,2.0,26.0,30000000.0,NBA_2019
Klay Thompson,28,34.0,3.1,2.4,8.4,1.7,1.5,3.4,18.0,3.8,0.5,2.0,1.1,0.6,2.0,21.5,18988725.0,NBA_2019
Stephen Curry,30,33.8,5.1,5.2,9.2,3.8,2.8,4.7,19.4,5.3,0.7,4.2,1.3,0.4,2.4,27.3,37457154.0,NBA_2019
Draymond Green,28,31.3,0.7,6.9,2.8,1.0,2.6,6.4,6.4,7.3,0.9,1.4,1.4,1.1,3.0,7.4,17469565.0,NBA_2019
DeMarcus Cousins,28,25.7,0.9,3.6,5.9,3.5,2.4,6.8,12.4,8.2,1.4,4.8,1.3,1.5,3.6,16.3,5337000.0,NBA_2019
Andre Iguodala,35,23.2,0.7,3.2,2.2,0.6,0.8,3.0,4.4,3.7,0.7,1.0,0.9,0.8,1.4,5.7,16000000.0,NBA_2019
Kevon Looney,22,18.5,0.0,1.5,2.7,0.8,0.6,2.8,4.3,5.2,2.4,1.3,0.6,0.7,2.6,6.3,1567007.0,NBA_2019
Damian Jones,23,17.1,0.0,1.2,2.2,1.0,0.7,1.8,3.1,3.1,1.3,1.5,0.5,1.0,2.6,5.4,1544951.0,NBA_2019
Jonas Jerebko,31,16.7,0.9,1.3,2.2,0.9,0.6,3.0,4.9,3.9,1.0,1.1,0.4,0.2,1.9,6.3,2165481.0,NBA_2019
Shaun Livingston,33,15.1,0.0,1.8,1.7,0.6,0.6,1.2,3.3,1.8,0.7,0.8,0.5,0.4,1.2,4.0,8307692.0,NBA_2019
Quinn Cook,25,14.3,1.1,1.6,2.8,0.3,0.7,1.8,5.9,2.1,0.3,0.4,0.3,0.0,1.2,6.9,1544951.0,NBA_2019
Alfonzo McKinnie,26,13.9,0.6,0.4,1.9,0.4,0.4,2.3,3.8,3.4,1.1,0.7,0.3,0.2,1.9,4.7,1349383.0,NBA_2019
Andrew Bogut,34,12.2,0.0,1.0,1.6,0.3,0.7,3.9,3.3,5.0,1.1,0.3,0.3,0.7,2.0,3.5,2393887.0,NBA_2019
Jordan Bell,24,11.6,0.0,1.1,1.5,0.4,0.6,1.9,2.8,2.7,0.8,0.6,0.3,0.8,1.2,3.3,1378252.0,NBA_2019
Jacob Evans,21,6.8,0.1,0.8,0.6,0.0,0.4,0.6,1.8,0.8,0.2,0.0,0.2,0.1,0.9,1.3,1644240.0,NBA_2019
Jamal Murray,21,32.6,2.0,4.8,6.8,2.5,2.1,3.4,15.6,4.2,0.9,3.0,0.9,0.4,2.0,18.2,3499800.0,NBA_2019
Nikola Jokić,23,31.3,1.0,7.3,7.7,3.6,3.1,8.0,15.1,10.8,2.9,4.4,1.4,0.7,2.9,20.1,24605181.0,NBA_2019
Gary Harris,24,28.8,1.4,2.2,4.7,2.0,1.2,2.1,11.2,2.8,0.7,2.5,1.0,0.3,2.0,12.9,16517857.0,NBA_2019
Will Barton,28,27.7,1.6,2.9,4.3,1.3,1.5,3.9,10.7,4.6,0.7,1.7,0.4,0.5,1.9,11.5,11830358.0,NBA_2019
Paul Millsap,33,27.1,0.8,2.0,4.6,2.6,1.4,5.0,9.5,7.2,2.2,3.6,1.2,0.8,2.6,12.6,29730769.0,NBA_2019
Monte Morris,23,24.0,1.1,3.6,4.2,0.8,0.6,1.9,8.6,2.4,0.4,1.0,0.9,0.0,1.2,10.4,1349383.0,NBA_2019
Malik Beasley,22,23.2,2.0,1.2,4.3,0.7,0.7,2.0,9.1,2.5,0.4,0.8,0.7,0.1,1.4,11.3,1773840.0,NBA_2019
Mason Plumlee,28,21.1,0.0,3.0,3.2,1.4,1.5,4.4,5.4,6.4,2.0,2.4,0.8,0.9,3.1,7.8,12917808.0,NBA_2019
Torrey Craig,28,20.0,0.8,1.0,2.1,0.7,0.6,2.3,4.8,3.5,1.2,0.9,0.5,0.6,2.3,5.7,2000000.0,NBA_2019
Juan Hernangómez,23,19.4,0.9,0.8,2.0,0.9,0.5,2.9,4.5,3.8,0.9,1.2,0.4,0.3,1.3,5.8,2166360.0,NBA_2019
Trey Lyles,23,17.5,0.8,1.4,3.2,1.3,1.1,3.2,7.7,3.8,0.7,1.8,0.5,0.4,1.5,8.5,3364249.0,NBA_2019
Isaiah Thomas,29,15.1,1.0,1.9,2.8,1.4,1.5,0.7,8.3,1.1,0.4,2.3,0.4,0.1,1.4,8.1,2029463.0,NBA_2019
Nick Young,33,9.3,0.8,0.5,0.8,0.0,0.5,0.3,2.3,0.3,0.0,0.0,0.0,0.3,1.0,2.3,311070.0,NBA_2019
Jarred Vanderbilt,19,4.1,0.0,0.2,0.5,0.4,0.5,0.9,1.1,1.4,0.4,0.6,0.4,0.1,0.5,1.4,838464.0,NBA_2019
Tyler Lydon,22,3.8,0.2,0.2,0.4,0.0,0.2,0.4,0.7,0.7,0.3,0.1,0.1,0.0,0.4,0.9,1874640.0,NBA_2019
Damian Lillard,28,35.5,3.0,6.9,8.5,5.9,2.7,3.8,19.2,4.6,0.9,6.4,1.1,0.4,1.9,25.8,27977689.0,NBA_2019
CJ McCollum,27,33.9,2.4,3.0,8.2,2.3,1.5,3.1,17.8,4.0,0.9,2.7,0.8,0.4,2.5,21.0,25759766.0,NBA_2019
Al-Farouq Aminu,28,28.3,1.2,1.3,3.2,1.9,0.9,6.1,7.3,7.5,1.4,2.1,0.8,0.4,1.8,9.4,6957105.0,NBA_2019
Jusuf Nurkić,24,27.4,0.0,3.2,5.8,3.9,2.3,7.0,11.5,10.4,3.4,5.1,1.0,1.4,3.5,15.6,11111111.0,NBA_2019
Rodney Hood,26,24.4,1.1,1.3,3.6,1.2,0.7,1.4,8.0,1.7,0.3,1.5,0.8,0.3,1.7,9.6,3472887.0,NBA_2019
Maurice Harkless,25,23.6,0.6,1.2,3.2,0.8,0.8,3.2,6.5,4.5,1.3,1.2,1.1,0.9,2.7,7.7,10837079.0,NBA_2019
Enes Kanter,26,22.3,0.1,1.4,5.4,2.2,1.7,4.9,9.3,8.6,3.7,3.0,0.6,0.4,2.7,13.1,653556.0,NBA_2019
Evan Turner,30,22.0,0.2,3.9,2.8,1.0,1.6,4.0,6.1,4.5,0.5,1.5,0.5,0.2,1.5,6.8,17868852.0,NBA_2019
Seth Curry,28,18.9,1.5,0.9,2.9,0.6,0.8,1.3,6.3,1.6,0.4,0.7,0.5,0.2,1.3,7.9,2795000.0,NBA_2019
Jake Layman,24,18.7,0.8,0.7,3.0,0.7,0.6,2.3,6.0,3.1,0.8,1.0,0.4,0.4,1.6,7.6,1544951.0,NBA_2019
Zach Collins,21,17.6,0.5,0.9,2.5,1.2,1.0,2.8,5.2,4.2,1.4,1.6,0.3,0.9,2.3,6.6,3628920.0,NBA_2019
Meyers Leonard,26,14.4,0.8,1.2,2.2,0.7,0.7,3.0,4.0,3.8,0.8,0.8,0.2,0.1,1.7,5.9,10595506.0,NBA_2019
Gary Trent,20,7.4,0.3,0.3,1.1,0.2,0.3,0.7,3.3,0.7,0.1,0.5,0.1,0.1,0.3,2.7,838464.0,NBA_2019
Anfernee Simons,19,7.1,0.5,0.7,1.4,0.5,0.6,0.5,3.2,0.7,0.2,0.8,0.1,0.0,0.5,3.8,1835520.0,NBA_2019
Skal Labissière,22,7.0,0.2,0.6,1.4,0.3,0.4,1.6,2.1,2.1,0.6,0.7,0.3,0.3,0.9,3.4,1544951.0,NBA_2019
James Harden,29,36.8,4.8,7.5,10.8,9.7,5.0,5.8,24.5,6.6,0.8,11.0,2.0,0.7,3.1,36.1,30431854.0,NBA_2019
P.J. Tucker,33,34.2,1.8,1.2,2.5,0.5,0.8,4.4,6.4,5.8,1.5,0.7,1.6,0.5,3.1,7.3,7969537.0,NBA_2019
Clint Capela,24,33.6,0.0,1.4,7.1,2.5,1.4,8.2,10.9,12.7,4.4,3.9,0.7,1.5,2.5,16.6,15293104.0,NBA_2019
Chris Paul,33,32.0,2.2,8.2,5.2,3.0,2.6,3.9,12.4,4.6,0.6,3.5,2.0,0.3,2.5,15.6,35654150.0,NBA_2019
Eric Gordon,30,31.7,3.2,1.9,5.6,1.8,1.3,1.9,13.8,2.2,0.3,2.2,0.6,0.4,2.1,16.2,13500375.0,NBA_2019
Austin Rivers,26,28.6,1.5,2.3,3.3,0.5,0.7,1.6,8.0,1.9,0.3,1.0,0.6,0.3,2.9,8.7,1155323.0,NBA_2019
Kenneth Faried,29,24.4,0.3,0.7,5.2,2.2,1.1,5.0,8.9,8.2,3.3,3.3,0.6,0.8,3.0,12.9,917272.0,NBA_2019
Gerald Green,33,20.2,2.1,0.5,3.2,0.8,0.8,2.1,7.9,2.5,0.4,0.9,0.5,0.4,1.7,9.2,2393887.0,NBA_2019
Iman Shumpert,28,19.1,1.1,1.1,1.7,0.1,0.6,2.3,4.9,2.7,0.4,0.2,0.6,0.2,1.8,4.6,11011234.0,NBA_2019
Nen� Hil�rio,36,13.0,0.0,0.6,1.4,0.7,0.3,2.1,2.8,2.9,0.8,1.1,0.4,0.4,2.1,3.6,3651480.0,NBA_2019
Gary Clark,24,12.6,0.8,0.4,1.0,0.1,0.1,1.8,3.0,2.3,0.5,0.1,0.4,0.5,0.9,2.9,596872.0,NBA_2019
Isaiah Hartenstein,20,7.9,0.1,0.5,0.7,0.4,0.5,0.9,1.5,1.7,0.8,0.5,0.3,0.4,2.0,1.9,838464.0,NBA_2019
Chris Chiozza,23,4.7,0.3,0.6,0.3,0.0,0.1,0.4,1.1,0.6,0.1,0.0,0.1,0.1,0.3,0.9,90005.0,NBA_2019
Chris Chiozza,23,4.7,0.3,0.6,0.3,0.0,0.1,0.4,1.1,0.6,0.1,0.0,0.1,0.1,0.3,0.9,47371.0,NBA_2019
Terrence Jones,27,2.5,0.0,0.0,0.5,0.0,0.5,2.0,2.0,2.0,0.0,0.5,0.0,0.0,0.5,1.0,198580.0,NBA_2019
Zhou Qi,23,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,506134.0,NBA_2019
Donovan Mitchell,22,33.7,2.4,4.2,8.6,4.1,2.8,3.3,19.9,4.1,0.8,5.1,1.4,0.4,2.7,23.8,3111480.0,NBA_2019
Rudy Gobert,26,31.8,0.0,2.0,5.9,4.1,1.6,9.0,8.8,12.9,3.8,6.4,0.8,2.3,2.9,15.9,23241573.0,NBA_2019
Joe Ingles,31,31.3,2.3,5.7,4.4,1.1,2.4,3.6,9.8,4.0,0.4,1.5,1.2,0.2,2.2,12.1,13045455.0,NBA_2019
Ricky Rubio,28,27.9,1.2,6.1,4.3,2.9,2.6,3.1,10.7,3.6,0.5,3.4,1.3,0.1,2.6,12.7,14975000.0,NBA_2019
Jae Crowder,28,27.1,2.2,1.7,4.0,1.8,1.1,4.1,10.0,4.8,0.8,2.5,0.8,0.4,2.1,11.9,7305825.0,NBA_2019
Derrick Favors,27,23.2,0.2,1.2,4.8,2.0,1.1,4.6,8.1,7.4,2.7,3.0,0.7,1.4,2.1,11.8,16900000.0,NBA_2019
Royce O'Neale,25,20.4,0.8,1.5,2.0,0.4,0.9,3.2,4.2,3.5,0.3,0.5,0.7,0.3,2.1,5.2,1378242.0,NBA_2019
Kyle Korver,37,20.1,2.1,1.2,3.1,0.9,0.8,2.3,7.5,2.5,0.2,1.1,0.4,0.2,1.6,9.1,7560000.0,NBA_2019
Dante Exum,23,15.8,0.4,2.6,2.4,1.6,1.2,1.2,5.7,1.6,0.4,2.0,0.3,0.1,1.6,6.9,9600000.0,NBA_2019
Raul Neto,26,12.8,0.5,2.5,2.0,0.8,0.9,1.5,4.4,1.7,0.2,0.9,0.4,0.1,1.3,5.3,2150000.0,NBA_2019
Thabo Sefolosha,34,12.2,0.7,0.5,1.4,0.3,0.5,2.3,3.0,2.5,0.2,0.4,0.9,0.1,0.8,3.8,5250000.0,NBA_2019
Tony Bradley,21,12.0,0.0,0.3,2.7,0.3,1.0,2.0,5.3,5.0,3.0,0.7,0.7,0.7,2.0,5.7,1679520.0,NBA_2019
Grayson Allen,23,10.9,0.8,0.7,1.8,1.2,0.9,0.5,4.7,0.6,0.1,1.6,0.2,0.2,1.2,5.6,2074320.0,NBA_2019
Georges Niang,25,8.7,0.7,0.6,1.5,0.3,0.4,1.3,3.1,1.5,0.2,0.4,0.2,0.1,1.0,4.0,1512601.0,NBA_2019
Ekpe Udoh,31,6.3,0.0,0.5,1.0,0.4,0.3,1.2,1.4,1.8,0.5,0.6,0.2,0.6,0.7,2.3,3360000.0,NBA_2019
Paul George,28,36.9,3.8,4.1,9.2,5.9,2.7,6.8,21.0,8.2,1.4,7.0,2.2,0.4,2.8,28.0,30560700.0,NBA_2019
Russell Westbrook,30,36.0,1.6,10.7,8.6,4.1,4.5,9.6,20.2,11.1,1.5,6.2,1.9,0.5,3.4,22.9,35654150.0,NBA_2019
Steven Adams,25,33.4,0.0,1.6,6.0,1.8,1.7,4.6,10.1,9.5,4.9,3.7,1.5,1.0,2.6,13.9,24157304.0,NBA_2019
Jerami Grant,24,32.7,1.4,1.0,5.1,2.0,0.8,4.0,10.3,5.2,1.2,2.8,0.8,1.3,2.7,13.6,8653847.0,NBA_2019
